mbti,function_pair,danceability,danceability_stdev,energy,energy_stdev,loudness,loudness_stdev,mode,mode_stdev,speechiness,speechiness_stdev,acousticness,acousticness_stdev,liveness,liveness_stdev,valence,valence_stdev,tempo,tempo_stdev,instrumentalness,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,EMajor_count,Fminor_count,FMajor_count,F#/Gbminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,BMajor_count,Dminor_count,D#_Ebminor_count,Gminor_count,A#/BbMajor_count,F#/GbMajor_count,Bminor_count
5,1,0.5583400000000000,0.11224055980485,0.4226400000000000,0.1427993826088520,-8.1648,2.916215894418170,0.86,0.3505098327538660,0.050484,0.0488527080694027,0.664306,0.2569967683509990,0.1571420000000000,0.0856160462978376,0.328194,0.1688914280034990,105.87642,32.07466469965840,0.0777927485999999,0.1982748070540800,3.0,3.0,0.0,2.0,2.0,3.0,0.0,5.0,1.0,1.0,0.0,7.0,0.0,3.0,1.0,5.0,0.0,3.0,0.0,0.0,1.0,5.0,4.0,1.0
5,1,0.5468800000000000,0.1214011128617920,0.560424,0.2503367548739420,-8.131820000000000,3.9898460084344600,0.8,0.4040610178208840,0.0660259999999999,0.0703880202295584,0.345506,0.3447915029752310,0.204924,0.1510446123582330,0.4641400000000000,0.2147341982972610,125.74298,31.0545951461852,0.0780637778,0.231200578341704,3.0,3.0,0.0,2.0,3.0,2.0,1.0,5.0,0.0,7.0,3.0,6.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0
5,1,0.546088888888889,0.1621765062884240,0.5325333333333330,0.1721515716929810,-8.825066666666670,2.8454068681744900,0.7555555555555560,0.4346134936801770,0.0428355555555555,0.0287333758700381,0.3347546117777780,0.3160715916084880,0.1703822222222220,0.0946239838155808,0.4001488888888890,0.2102311872701340,120.51024444444400,31.294585983372700,0.2449191742222220,0.3343754398400120,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,5.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0
5,1,0.5922500000000000,0.1596578807603590,0.3303535714285710,0.269115722708642,-13.14267857142860,5.719592338837340,0.9642857142857140,0.1889822365046140,0.0731428571428571,0.0415391687408708,0.6542833214285720,0.3430371711432010,0.1429464285714290,0.0815475797589987,0.3835321428571430,0.2150629538385370,121.50675000000000,33.34429305784990,0.0613313,0.1989403311021950,0.0,4.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
5,1,0.5394720000000000,0.1398934157543830,0.64518,0.1978660328069870,-6.431620000000000,2.204114065069400,0.48,0.5046720495044480,0.0548319999999999,0.0342621731085821,0.2357297106,0.2920708125927440,0.186392,0.1278632174774020,0.372288,0.1873643843053490,119.29912,28.81722623400870,0.108509481,0.2454353759332800,1.0,6.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0,3.0,4.0,3.0,0.0,2.0,6.0,2.0,5.0,2.0,1.0,0.0,4.0,0.0,1.0,0.0
5,1,0.6315,0.147608866776425,0.5163,0.1632235539725460,-6.158240000000000,1.862264964597510,0.92,0.2740475156178700,0.118966,0.1206975738389640,0.540214,0.2725753765886580,0.182176,0.1240195188061060,0.48112,0.2304125528043030,113.67648,30.0941568036734,0.026488011,0.1399739213375350,0.0,3.0,1.0,6.0,4.0,1.0,1.0,5.0,1.0,3.0,0.0,6.0,0.0,3.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,0.0
5,1,0.5522,0.1539948316121850,0.516062,0.2218413120007270,-7.980860000000000,3.7593019272200000,0.84,0.3703280399090210,0.057694,0.0445004260928924,0.358674,0.3479130932299280,0.151544,0.1179766600230910,0.346746,0.2075063866339480,131.54356,32.97368802988600,0.0143512188,0.0928598646680062,0.0,9.0,0.0,2.0,4.0,1.0,4.0,5.0,0.0,4.0,1.0,6.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0
5,1,0.55804,0.1447442445368060,0.5225380000000000,0.2187067619215380,-8.851760000000000,2.999645139284420,0.62,0.4903143514780150,0.058712,0.0665348570299809,0.377329838,0.3582438235429940,0.172154,0.1384855922808860,0.3931520000000000,0.2379786495654170,122.37044000000000,27.81180248520250,0.1101255918,0.227356934076448,3.0,3.0,0.0,3.0,4.0,3.0,1.0,3.0,1.0,5.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,4.0,0.0,3.0,0.0,3.0,4.0
5,1,0.5477600000000000,0.1513247029215180,0.58494,0.2082785036964710,-7.1704,3.1063596517007300,0.66,0.4785181206984070,0.06798,0.0550646410492028,0.32040828,0.3026480250356190,0.1522900000000000,0.0971049658243856,0.3811760000000000,0.2135836055391470,125.40068,28.803915508663100,0.0498470618,0.1465357916147920,1.0,5.0,2.0,3.0,4.0,2.0,5.0,2.0,1.0,2.0,2.0,4.0,0.0,3.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0
5,1,0.4566200000000000,0.1491621347694500,0.68324,0.245568524872719,-7.824440000000000,3.726629768987260,0.7,0.4629100498862760,0.062628,0.039228238683429,0.1687894302,0.2782479099379490,0.184952,0.1517755340989460,0.36797,0.2130384800443150,127.72426000000000,26.573545243504300,0.1467433834,0.2823289970860700,0.0,6.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,4.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0
